letter,term,definition,acronym
F,Flat Design,A design style that uses simple elements without three-dimensional effects,
F,Floating Action Button,A circular button that floats above the main interface,FAB
F,Floating Menu,A menu that appears to hover above other interface elements,
F,Flow Chart,A diagram that shows the sequence of steps in a process,
F,Fluid Design,Design that adapts smoothly to different screen sizes,
F,Focus Group,A research method involving guided discussions with a group of users,
F,Focus Order,The sequence in which elements receive keyboard focus,
F,Focus States,Visual indicators that show which element currently has keyboard focus for accessibility and navigation,
F,Font,"A set of characters with a specific typeface, size, and style",
F,Footer,The bottom section of a webpage or document,
F,Form,A collection of input fields for gathering user information,
F,Formative Testing,Testing conducted during development to improve the design,
F,Framing,How information is presented to influence perception and decision-making,
F,Freemium,A business model offering basic features for free with premium features for a fee,
F,Front-end,The client-side of an application that users interact with directly,
F,Full-stack Designer,A designer who works on both user interface and user experience,
F,Funnel Testing,Testing different versions of conversion funnels to optimize performance,
G,Gamification,Adding game-like elements to non-game contexts to increase engagement,
G,Gaze Path,The sequence of eye movements and fixations when viewing content,
G,Generative AI,Artificial intelligence that can create new content based on training data,GenAI
G,Gestalt,Principles describing how humans perceive visual elements as unified wholes,
G,GIF,"Graphics Interchange Format, a bitmap image format supporting animation",GIF
G,GitHub,A platform for version control and collaborative software development,
G,Go-to-market Strategy,A plan for launching a product and reaching target customers,GTM
G,Goal-directed Design,A design approach that focuses on user goals and motivations,
G,Gradient,A gradual transition between two or more colors,
G,Graphic Design,"The art of visual communication through typography, imagery, and layout",
G,Graphical User Interface,A visual way for users to interact with computers,GUI
G,Grid,A structure of intersecting lines used to organize content and layout,
G,Guerrilla Testing,"Quick, informal usability testing in public spaces",
H,Hack,"A clever solution to a problem, often involving unconventional methods",
H,Hamburger Menu,A menu icon consisting of three horizontal lines,
H,Haptic Feedback,Tactile feedback that users feel through vibrations or force,
H,Hardware,The physical components of a computer or electronic device,
H,Hawthorne Effect,The tendency for people to modify behavior when they know they're being observed,
H,Header,The top section of a webpage or document containing navigation and branding,
H,Headline,A prominent text element that introduces or summarizes content,
H,Headline 1,"The main heading tag in HTML, typically the most important heading on a page and required for accessibility. Headline tags run from H1 to H6",H1
H,Heatmap,"A visual representation showing where users click, scroll, or focus attention",
H,Hero,"A large, prominent section at the top of a webpage featuring key content",
H,Heuristic Evaluation,A usability evaluation method using established usability principles,
H,Heuristics,General principles or rules of thumb for solving problems,
H,Hexadecimal,A base-16 number system commonly used to represent colors in web design,HEX
H,Hick's Law,The principle that decision time increases with the number of choices,
H,High-contrast,Design with strong differences between light and dark elements,
H,High-fidelity,"Prototypes or designs with detailed, realistic appearance and functionality",
H,Home Page,The main or introductory page of a website,
H,Hover,The state when a cursor is positioned over an interactive element,
H,How Might We,A question format used in design thinking to frame problems as opportunities,HMW
H,HSB,"Hue, Saturation, Brightness color model",HSB
H,Hue,The pure color without tint or shade,
H,Human Factors,The study of how humans interact with systems and environments,
H,Human-centered Design,A design approach that prioritizes human needs and capabilities,HCD
H,Human-computer Interaction,The study of how people interact with computers and technology,HCI
H,Hybrid Mobile Application,An app that combines native and web technologies,
H,Hyperlink,A clickable link that connects to another webpage or resource,
H,Hypertext,Text that contains links to other text or media,
H,HyperText Markup Language,The standard markup language for web pages,HTML
I,I-beam Cursor,A text cursor that appears as a vertical line for text editing,
I,Iconography,The use of visual symbols to represent ideas or functions,
I,Ideation,The process of generating creative ideas and solutions,
I,Illustration,"Visual artwork used to explain, decorate, or enhance content",
I,Illustrator,Adobe's vector graphics editing software,
I,Inclusive Design,Design that considers the full range of human diversity,
I,Industrial Design,The design of physical products for mass production,
I,Infinite Scrolling,A web design technique where content loads continuously as users scroll,
I,Infographic,A visual representation of information or data,
I,Information Architect,A professional who organizes and structures information,
I,Information Architecture,The structural design of shared information environments,IA
I,Information Design,The practice of presenting information in ways that foster understanding,
I,Information Scent,Cues that help users predict what they'll find if they follow a link,
I,Initial Case,Capitalization where only the first letter of the first word is capitalized,
I,Inline,Elements that flow with text content rather than starting on a new line,
I,Innovation,"The process of creating new ideas, products, or methods",
I,Intentional Friction,Deliberately adding steps to slow down user actions for safety or consideration,
I,Interaction,The communication between a user and a system,
I,Interaction Design,The design of interactive products and services,IxD
I,Interface,The point where two systems meet and interact,
I,Internationalization,The process of designing software for multiple languages and regions,I18N
I,Interviews,One-on-one conversations with stakeholders or users to gather insights,
I,Intuitive Design,Design that feels natural and easy to understand without instruction,
I,InVision,A digital product design platform for prototyping and collaboration,
I,iOS,Apple's mobile operating system for iPhone and iPad (formerly iPhone OS),
I,IP Address,"Internet Protocol address, a unique identifier for devices on a network",IP
I,iRise,A prototyping tool for creating interactive mockups,
I,Iteration,"A repeated cycle of design, test, and refine",
I,Iterative,A process that involves repeated cycles of improvement,
I,Iterative Design,A design methodology based on repeated cycles of prototyping and testing,
J,Jacob's Law,Users prefer your site to work the same way as other sites they already know,
J,JavaScript,A programming language commonly used for web development,JS
J,Jobs to be Done,A framework for understanding customer motivations by focusing on the progress they're trying to make,JTBD
J,JPG,"Joint Photographic Experts Group, a common image file format",JPG
J,Justified,Text alignment where both left and right edges are aligned,
K,Kebab Menu,A menu represented by three vertical dots,
K,Kerning,The adjustment of space between individual letter pairs,
K,Key Performance Indicator,A measurable value that demonstrates effectiveness,KPI
K,Keyboard Navigation,The ability to navigate and interact with interfaces using only keyboard inputs,
K,Kickoff,An initial meeting to start a project and align team members,
K,Kiosk,A standalone interactive terminal for public use,
K,Knowledge Gap,The difference between what users know and what they need to know,
L,Label,Text that identifies or describes an interface element,
L,Landing Page,A standalone web page created for a specific marketing campaign,
L,Landscape Display,Screen orientation that is wider than it is tall,
L,Law of Minimal Effort,Users will choose the path that requires the least amount of work,
L,Layouts,Arrangements of elements within a design system,
L,Leading,The vertical space between lines of text,
L,Lean UX,A user experience design approach that emphasizes rapid experimentation,
L,Learnability,How easy it is for users to learn to use a product,
L,Left-aligned,Text alignment where text is aligned to the left margin,
L,LESS,A dynamic preprocessor style sheet language that can be compiled into CSS and run on the client or server,
L,Likert Scale,A rating scale used in surveys to measure attitudes or opinions,
L,Line Break,A point where text wraps to the next line,
L,Link,A clickable element that navigates to another page or resource,
L,Listbox,A UI control that displays a list of options for selection,
L,Load Time,The amount of time it takes for a page or application to fully load,
L,Localization,Adapting a product for a specific region or language,L10N
L,Log Files,Records of events that occur in a system or application,
L,Logo,A graphic symbol that represents a company or brand,
L,Longitudinal Study,Research that follows the same subjects over an extended period,
L,Look and Feel,The overall visual appearance and user experience of a product,
L,Loss Aversion,The tendency to prefer avoiding losses over acquiring equivalent gains,
L,Low-fidelity,"Prototypes or designs with basic, simplified appearance and functionality",
L,Lowercase,Text written in small letters rather than capital letters,
M,Machine Learning,AI that enables computers to learn and improve from experience,ML
M,macOS,Apple's operating system for Mac computers,macOS
M,Margin,The space outside the border of an element,
M,Market Research,The process of gathering information about target markets and customers,
M,Market-fit,The degree to which a product satisfies market demand,
M,Material Design,Google's design language that uses grid-based layouts and responsive animations,
M,Megabyte,"A unit of digital information equal to 1,024 kilobytes",MB
M,Memorability,How easily users can remember how to use a product after learning it,
M,Mental Model,A user's understanding of how something works,
M,Menu,A list of options or commands available to users,
M,Menu Bar,A horizontal bar containing menu options,
M,Message Testing,Research method to evaluate the effectiveness of communication,
M,Metadata,Data that provides information about other data,
M,Micro Copy,Small pieces of text that guide users through interactions,
M,Micro Interaction,"Small, contained product moments that accomplish a single task",
M,Microsoft Blend,A user interface design tool for creating web and desktop applications,
M,Mind Map,A visual representation of information showing relationships between concepts,
M,Mind Mapping,The process of creating visual diagrams to organize information,
M,Minesweeping,Randomly clicking around an interface to find interactive elements,
M,Minimum Viable Product,The simplest version of a product that can be released to users,MVP
M,Mobile Web,Websites optimized for viewing on mobile devices,
M,Mobile-first Design,A design approach that starts with mobile devices and scales up,
M,Mockup,A static representation of a design showing visual elements,
M,Modal,A dialog box that requires user interaction before returning to the main interface,
M,Moderated Testing,Usability testing conducted with a facilitator present to guide participants and ask questions,
M,Moderator,A person who facilitates usability testing sessions,
M,Modes,Different states or configurations of an interface,
M,Molecules,Groups of atoms that function together as a unit in atomic design,
M,Monochromatic Colors,A color scheme using different shades and tints of a single color,
M,Mood Board,A visual collage that conveys the style and feel of a design,
M,Multi-channel,Using multiple platforms or channels to reach users,
M,Multi-screens,Interfaces designed to work across multiple displays,
M,Multi-variant Testing,Testing multiple versions of elements simultaneously,
N,Native Mobile,Applications built specifically for a particular mobile platform,
N,Natural Language Interface,An interface that allows users to interact using everyday language,
N,Natural Language Processing,AI technology that helps computers understand human language,NLP
N,Navigation,The system that allows users to move through a website or application,
N,Near Field Communication,Short-range wireless technology for data exchange,NFC
N,Negative Space,Empty or white space around and between design elements,
N,Net Promoter Score,A metric that measures customer loyalty and satisfaction,NPS
N,Night Mode,A dark color scheme designed to reduce eye strain in low light,
N,Normal Distribution,A statistical distribution that forms a bell-shaped curve,
N,Normative Data,Standard or typical data used for comparison,
N,Notification,A message that alerts users to important information or events,
N,Number Picker,A UI control for selecting numerical values,
O,Objectives and Key Results,A goal-setting framework,OKR
O,Observational Research,Research method involving watching users in their natural environment,
O,OKR,"Objectives and Key Results, a goal-setting framework",OKR
O,Omni-channel,Providing a seamless experience across all channels and touchpoints,
O,One-time Passcode,A temporary password valid for a single login session,OTP
O,Opacity,The degree to which an element is transparent or opaque,
O,Open Source,"Software with source code that anyone can inspect, modify, and enhance",
O,Open-ended Questions,"Questions that allow for detailed, unrestricted responses",
O,Overlay,A layer that appears on top of existing content,
O,Overline,A horizontal line drawn above text,
P,Padding,The space inside an element between its content and border,
P,Page Density,The amount of content and elements on a single page,
P,Pagination,Dividing content across multiple pages with navigation controls,
